type_habit,prix,image_lien,quartier,region
Ensemble,4000,https://images.coinafrique.com/thumb_3768719_uploaded_image1_1656779104.jpg,HLM, Dakar
Robes,3500,https://images.coinafrique.com/thumb_3754007_uploaded_image1_1655924553.jpg,HLM, Dakar
Robes,3500,https://images.coinafrique.com/thumb_3754004_uploaded_image1_1655924401.jpg,HLM, Dakar
Ensemble,15000,https://images.coinafrique.com/thumb_3753779_uploaded_image1_1655915917.jpg,HLM, Dakar
Robebrodée,7000,https://images.coinafrique.com/thumb_3753655_uploaded_image1_1655912922.jpg,HLM, Dakar
Robe,10000,https://images.coinafrique.com/thumb_3753648_uploaded_image1_1655912749.jpg,HLM, Dakar
Robe,10000,https://images.coinafrique.com/thumb_3753632_uploaded_image1_1655912363.jpg,HLM, Dakar
Ensemble,7000,https://images.coinafrique.com/thumb_3753614_uploaded_image1_1655911841.jpg,HLM, Dakar
Robe,6000,https://images.coinafrique.com/thumb_3753621_uploaded_image1_1655912025.jpg,HLM, Dakar
Habitspour,3500,https://images.coinafrique.com/thumb_3744920_uploaded_image1_1655377672.jpg,HLM, Dakar
Robepour,10000,https://images.coinafrique.com/thumb_3744943_uploaded_image1_1655378299.jpg,HLM, Dakar
Robepour,8000,https://images.coinafrique.com/thumb_3744933_uploaded_image1_1655377895.jpg,HLM, Dakar
Habitspour,4000,https://images.coinafrique.com/thumb_3744927_uploaded_image1_1655377822.jpg,HLM, Dakar
Robepour,6000,https://images.coinafrique.com/thumb_3744921_uploaded_image1_1655377731.jpg,HLM, Dakar
Habits,3500,https://images.coinafrique.com/thumb_3744899_uploaded_image1_1655377009.jpg,HLM, Dakar
Vêtements,5000,https://images.coinafrique.com/thumb_3744913_uploaded_image1_1655377409.jpg,HLM, Dakar
Vêtements,9000,https://images.coinafrique.com/thumb_3744908_uploaded_image1_1655377260.jpg,HLM, Dakar
Habits,8000,https://images.coinafrique.com/thumb_3744906_uploaded_image1_1655377199.jpg,HLM, Dakar
Habits,3500,https://images.coinafrique.com/thumb_3744902_uploaded_image1_1655377136.jpg,HLM, Dakar
Habits,5000,https://images.coinafrique.com/thumb_3744890_uploaded_image1_1655376748.jpg,HLM, Dakar
Habits,10000,https://images.coinafrique.com/thumb_3744896_uploaded_image1_1655376915.jpg,HLM, Dakar
Grenouillère,4000,https://images.coinafrique.com/thumb_3748306_uploaded_image1_1655568309.jpg,HLM, Dakar
Ensemble,3000,https://images.coinafrique.com/thumb_3748313_uploaded_image1_1655568500.jpg,HLM, Dakar
Grenouillère,4000,https://images.coinafrique.com/thumb_3748310_uploaded_image1_1655568405.jpg,HLM, Dakar
Chemise,5000,https://images.coinafrique.com/thumb_3748294_uploaded_image1_1655567983.jpg,HLM, Dakar
Ensemblepantalon,8000,https://images.coinafrique.com/thumb_3756968_uploaded_image1_1656085069.jpg,HLM, Dakar
Robe,12000,https://images.coinafrique.com/thumb_3748193_uploaded_image1_1655563180.jpg,HLM, Dakar
Robe,12000,https://images.coinafrique.com/thumb_3748162_uploaded_image1_1655561368.jpg,HLM, Dakar
Robeenfant,8000,https://images.coinafrique.com/thumb_3748160_uploaded_image1_1655561184.jpg,HLM, Dakar
Robecoton,9000,https://images.coinafrique.com/thumb_3748151_uploaded_image1_1655560871.jpg,HLM, Dakar
