type_chauss,prix,image_lien,quartier,region
Baskets,20000,https://images.coinafrique.com/thumb_3958985_uploaded_image1_1668074060.jpg,Biscuiterie, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3934730_uploaded_image1_1666662380.jpg,Biscuiterie, Dakar
Chaussure,15000,https://images.coinafrique.com/thumb_3920803_uploaded_image1_1665775387.jpg,Dakar, Sénégal
Chaussures,3000,https://images.coinafrique.com/thumb_3874877_uploaded_image1_1662993378.jpg,Dakar, Sénégal
Chaussures,3000,https://images.coinafrique.com/thumb_3874870_uploaded_image1_1662993234.jpg,Dakar, Sénégal
Chaussures,15000,https://images.coinafrique.com/thumb_3886285_uploaded_image1_1663727518.jpg,Biscuiterie, Dakar
Chaussures,6000,https://images.coinafrique.com/thumb_3869546_uploaded_image1_1662655575.jpg,Ouakam, Dakar
Chaussures,3000,https://images.coinafrique.com/thumb_3853482_uploaded_image1_1661882915.jpg,Dakar Plateau, Dakar
Chaussures,2500,https://images.coinafrique.com/thumb_3853480_uploaded_image1_1661882766.jpg,Dakar Plateau, Dakar
Baskets,12000,https://images.coinafrique.com/thumb_3848408_uploaded_image1_1661541004.jpg,Dakar, Sénégal
Chaussures,5000,https://images.coinafrique.com/thumb_3804708_uploaded_image1_1659095376.jpg,Dakar, Sénégal
Chaussures,10000,https://images.coinafrique.com/thumb_3824846_uploaded_image1_1660191219.jpg,Biscuiterie, Dakar
Sandalesafricaines,1500,https://images.coinafrique.com/thumb_3778619_uploaded_image1_1657354885.jpg,Cambérène, Dakar
Chaussures,7000,https://images.coinafrique.com/thumb_3777593_uploaded_image1_1657274825.jpg,Sicap Liberté, Dakar
Chaussures,7000,https://images.coinafrique.com/thumb_3777592_uploaded_image1_1657274783.jpg,Sicap Liberté, Dakar
Chaussures,12500,https://images.coinafrique.com/thumb_3771424_uploaded_image1_1656942212.jpg,Dakar, Sénégal
Claquettes,1250,https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg,Colobane, Dakar
Chaussures,1500,https://images.coinafrique.com/thumb_3704967_uploaded_image1_1653083833.jpg,HLM, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_3672156_uploaded_image1_1651092639.jpg,Hann Bel-Air, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_3699436_uploaded_image1_1652782683.jpg,Dakar, Sénégal
Baskets,15000,https://images.coinafrique.com/thumb_3690626_uploaded_image1_1652255965.jpg,Biscuiterie, Dakar
Chaussures,7000,https://images.coinafrique.com/thumb_3641537_uploaded_image1_1649258723.jpg,Dakar, Sénégal
Chaussures,10000,https://images.coinafrique.com/thumb_3673169_uploaded_image2_1651155111.jpeg,Parcelle Assainies, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_3673165_uploaded_image2_1651154980.jpeg,Parcelle Assainies, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_3673159_uploaded_image3_1651154872.jpeg,Parcelle Assainies, Dakar
Chaussures,3500,https://images.coinafrique.com/thumb_3641983_uploaded_image1_1649278750.jpg,Thies, Sénégal
Chaussures,7000,https://images.coinafrique.com/thumb_3641151_uploaded_image2_1649247824.jpeg,Grand Yoff, Dakar
Ballerines,7000,https://images.coinafrique.com/thumb_3617411_uploaded_image1_1647863237.jpg,Grand Yoff, Dakar
Chaussures,5000,https://images.coinafrique.com/thumb_3579013_uploaded_image1_1645581208.jpg,Medina, Dakar
Chaussures,2000,https://images.coinafrique.com/thumb_3543253_uploaded_image1_1643397434.jpg,Mermoz-Sacré Coeur, Dakar
Chaussures,11000,https://images.coinafrique.com/thumb_3537500_uploaded_image1_1643045085.jpg,Colobane, Dakar
Pantoufles,4000,https://images.coinafrique.com/thumb_3533457_uploaded_image1_1642754956.jpg,Cambérène, Dakar
,4000,https://images.coinafrique.com/thumb_3529128_uploaded_image1_1642500345.jpg,Cambérène, Dakar
